problem,golden_answer,language
在Node.js中，哪个模块提供了从给定文件名获取文件扩展名的方法？,“path”模块。,Chinese
Какой параметр в mongoose.connect() используется для предотвращения устаревших механизмов парсинга URL?,Использование NewUrlParser: true.,Russian
如果文件名没有扩展名，path.extname（）方法返回什么？,一个空字符串。,Chinese
"In a Node.js application using JWT for authentication, where should the token typically be stored on the client side for security reasons?",In an HTTP-only cookie.,English
在scikit-learn中，KMeans类的哪个属性包含匹配后的集群中心的坐标？,cluster_centers_,Chinese
What HTTP status code should be returned when a user tries to access a resource they are not authorized for in an Express.js application?,403 Forbidden.,English
"In Mongoose, what method is used to populate referenced documents in a query?",The populate() method.,English
C#中string.Joing方法的用途是什么？,它将集合的元素连接成一个字符串，用指定的分隔符分隔。,Chinese
Какой оператор в Python используется для целочисленного деления?,// (двойной слэш).,Russian
在Vue.js中，为什么`mounted（）`生命周期钩子放在`methods（方法）`对象中时不起作用？,在Vue.js中，像`mounted（）`这样的生命周期钩子应该在`methods `对象之外声明。如果放置在“方法”中，Vue不会将其识别为生命周期钩子，从而阻止其执行。,Chinese
在 TypeScript 中，如何使用 `interface` 定义一个具有可选属性的对象类型？,使用 `?` 号标记可选属性，例如：`interface User { name: string; age?: number; }`。,Chinese
在Vue.js中，`mounted（）`生命周期钩子的目的是什么？,“mounted（）”生命周期挂钩用于在Vue实例插入到DOM后执行代码，使其在初始化数据、获取API数据或设置事件侦听器时非常有用。,Chinese
Какой параметр команды ssh-keygen позволяет задать нестандартный путь для сохранения ключа?,-f <путь>.,Russian
在XMLHttpRequest中，如何监听请求的状态变化以处理响应？,使用xhr.onreadystatechange回调函数，并检查xhr.readyState和xhr.status的值。,Chinese
在JavaScript中，XMLHttpRequest对象的readyState值为4时表示什么？,表示请求已完成，响应已就绪。,Chinese
"In Go, which package provides the NewSingleHostReverseProxy function used for creating a reverse proxy?",net/http/httputil.,English
在 JavaScript 中，`map()` 方法与 `forEach()` 方法的主要区别是什么？,`map()` 返回一个新数组，而 `forEach()` 仅对数组的每个元素执行操作，不返回新数组。,Chinese
在Python中，Dijkstra算法的时间复杂度是多少（使用邻接矩阵和朴素实现）？,O(V^2)，其中V是图中的顶点数。,Chinese
在Shell脚本中，如何判断telnet命令的输出是否包含特定字符串？,可以使用grep命令，例如`result=$(echo '' | telnet localhost $i 2>&1 | grep Connected)`，然后检查`result`是否包含'Connected'。,Chinese
"In a Go-based load balancer, what data structure is commonly used to store multiple backend server URLs for round-robin load balancing?",A slice ([]string).,English
在Dijkstra算法的实现中，如果使用二叉堆优化，时间复杂度可以降低到多少？,O((V + E) log V)，其中V是顶点数，E是边数。,Chinese
Eclipse中使用什么键盘快捷键来切换断点？,Ctrl+Shift+B。,Chinese
在 PyQt4 中，QSpacerItem 需要哪些参数来初始化？,QSpacerItem 需要宽度、高度、水平策略（QSizePolicy）和垂直策略（QSizePolicy）作为参数。,Chinese
在 PyQt4 中，QSpacerItem 的作用是什么？,QSpacerItem 用于在布局中创建可伸缩的空白空间，以调整子控件的排列方式。,Chinese
在 Aspose.Words for .NET 中，如何将修改后的 Word 文档保存到文件？,可以使用 `Document.Save` 方法将修改后的文档保存到指定路径或其他格式。,Chinese
"In the Go programming language, what package provides functionalities to make HTTP requests?",The 'net/http' package.,English
"In the context of concurrent programming in Go, what keyword is used to create a new goroutine?",The 'go' keyword.,English
"In Blender's Python scripting environment, what function is used to add a cube primitive to the scene?",bpy.ops.mesh.primitive_cube_add.,English
В чем разница между UNIQUE constraint и PRIMARY KEY в SQL?,"PRIMARY KEY требует, чтобы значения были уникальными и не NULL, а UNIQUE constraint допускает NULL-значения.",Russian
"В SQL, что произойдет, если попытаться добавить уникальный constraint на столбцы, содержащие дублирующиеся значения?","Операция завершится ошибкой, так как уникальный constraint требует, чтобы все значения в указанных столбцах были уникальными.",Russian
Как рассчитать процент изменения цены относительно начальной цены сделки в JavaScript?,((текущая цена - начальная цена) / начальная цена) * 100.,Russian
"In AutoHotkey, which function is used to retrieve the number of items in a ListView?",LV_GetCount().,English
"In the provided AutoHotkey script, what command is used to add an item with specific text to a ListView?",LV_Add().,English
"In JavaScript, what type of data does the 'parseFloat' function return when it is used to convert a string?",A number of type float or NaN if the string cannot be converted.,English
What scheduling algorithm prioritizes processes with the shortest deadline first?,Earliest Deadline First (EDF).,English
"In FiveM scripting, which Lua function is typically used to send a server event notification to clients?",TriggerClientEvent().,English
What is the purpose of the 'AddEventHandler' function in a FiveM Lua script?,To add a callback function that handles a specific event when the event is triggered.,English
在Java中，BigDecimal类的哪种方法用于使用指定的舍入模式将值四舍五入到指定的小数位数？,setScale（int newScale，舍入模式舍入模式）。,Chinese
在提供的Python代码示例中，“repeatx”和“repeaty”参数对生成的2D Perlin噪声有什么影响？,“repeatx”和“repeaty”参数定义了噪声重复的网格大小，影响了生成噪声的平滑度和计算复杂性。,Chinese
在Python中，如果指定的值不在列表中，list index（）方法会引发什么异常？,值错误。,Chinese
"In Blender scripting, what operation is performed by bpy.ops.object.join()?",It joins selected objects into a single mesh object.,English
"In MATLAB, what command calculates the Jacobian matrix for a given set of equations?",jacobian.,English
What function in Albumentations is used to define a sequence of image transformations for an augmentation pipeline?,A.Compose.,English
“antd”中的哪个布局组件可以用于在React应用程序中使用网格系统水平居中内容？,具有“antid”中“justice center”等属性的“Row”组件可用于使用网格系统对内容进行水平居中。,Chinese
在Vue.js中，当使用“prop”时，如何在Element UI的el表列中指定对象的嵌套属性？,您可以使用点符号指定嵌套属性，例如“info.name”。,Chinese
在React中，在以React和ReactDOM启动的应用程序中，使用什么方法将React组件渲染到DOM？,ReactDOM.render（）用于将React组件渲染到DOM。,Chinese
"In the Albumentations library, how can you specify the probability of a HorizontalFlip transformation being applied to an image?","By setting the parameter 'p', for example, A.HorizontalFlip(p=0.5).",English
在使用Perlin噪声生成噪声时，“插值”函数实现了什么？,“插值”函数用于在噪声值之间平滑插值，从而产生梯度效果。,Chinese
在计算机软件的国际化中，I18N代表什么？,国际化，其中'18'表示第一个'I'和最后一个'N'之间的字母数。,Chinese
在Python中，使用哪种列表方法来查找指定值第一次出现的索引？,index（）,Chinese
What is the significance of specifying 'LineWidth' in the contour function in MATLAB?,It sets the width of the contour lines in the plot.,English
What function from the C++11 std library provides a random generator seeded by the hardware's source of randomness?,std::random_device.,English
在TypeScript中，@types/react包的目的是什么？,@types/react包为react库提供TypeScript类型定义，允许开发人员在代码中使用类型检查和自动补全。,Chinese
