Question Number,Best Match ID
1,853528
2,957
3,823
4,957
5,823
6,957
7,2651
8,1535
9,2565
10,2705
11,1535
12,3287
13,226850
14,4242
15,2651
16,3872
17,2705
18,3872
19,4810
20,5356
21,3872
22,7223
23,4802
24,4802
25,3761
26,4810
27,7223
28,4810
29,5645
30,3519
31,7461
32,8567
33,7422
34,8061
35,8334
36,8061
37,8567
38,7553
39,8749
40,9526
41,9531
42,9792
43,8962
44,9531
45,9526
46,9850
47,9782
48,10406
49,10476
50,10729
52,12274
53,11192
54,11192
57,11252
58,13137
60,12761
61,12761
62,13577
63,17641
64,14818
66,19034
67,19667
68,19667
70,20367
71,20367
72,20000
73,19908
74,1032164
75,19908
76,22420
78,22290
79,22290
80,21390
81,20366
82,23780
83,23978
84,22290
86,22347
88,25232
89,22893
90,724084
91,24646
92,25456
93,20366
94,23780
95,25506
96,24646
97,25330
98,25330
99,25474
100,25360
101,25474
102,25897
103,25919
104,26185
105,27952
106,25474
107,25661
109,25897
111,27952
113,28347
114,27669
115,27580
116,29043
117,28347
121,31087
122,28164
123,31087
124,30706
125,31087
126,31116
127,31209
128,31378
129,30946
130,29112
131,31255
132,29112
133,31116
134,31255
135,31378
136,31209
138,31727
139,31727
140,33127
141,33052
142,33052
143,33052
145,33127
146,35003
147,34821
148,34278
149,33899
150,32465
151,35150
152,922447
154,35394
156,217020
157,34916
158,36577
159,37648
160,38022
161,36609
162,704089
163,38022
164,36668
165,36374
166,38284
167,38705
168,38924
169,37066
170,38705
171,38022
172,39787
173,39902
174,39483
175,40021
177,38483
179,39787
181,39787
182,39823
184,40021
185,40327
186,40295
187,40327
188,40327
189,40666
190,40214
194,41810
196,40336
197,43217
198,44044
199,44006
200,44176
202,41006
203,44421
204,45053
205,44006
206,44120
207,44421
208,44766
209,43921
210,44711
211,45159
212,45332
213,44796
214,44120
215,45408
216,44421
217,45332
218,46681
219,45408
220,45584
221,46681
223,47318
224,46972
225,46918
227,46918
228,45355
230,220906
231,334585
232,47347
235,46972
236,50205
238,50205
239,51015
240,50405
241,53793
243,50405
244,51015
245,53883
246,52185
247,53879
248,53883
249,53883
250,53793
252,54240
253,54516
254,53793
256,57995
257,53879
258,53879
259,54240
261,59630
262,56396
263,57247
264,57247
265,60675
266,59932
267,59630
268,57995
269,60544
270,60544
271,52185
272,60883
273,60170
274,59630
275,62538
276,61061
277,62538
278,63797
279,64714
280,64861
281,65507
283,66103
284,65930
286,66103
288,66639
289,65718
290,65113
292,66827
293,66827
294,66497
295,447880
296,115695
297,72111
298,72240
299,70161
300,66846
301,73447
303,73352
304,72675
305,72849
306,73352
308,73493
309,73460
310,73460
311,73689
312,73352
313,75012
315,72849
318,75484
320,77826
321,73689
322,77826
323,77042
324,78412
325,73689
327,78215
328,76041
329,80000
330,79286
331,78957
332,79200
333,79286
334,79200
335,78486
336,81185
337,78840
338,81185
341,82045
342,81697
343,81697
344,81558
345,81558
346,82045
347,82122
348,82572
349,81953
350,82248
351,82653
352,82045
353,82696
355,82122
359,82710
361,82248
362,82817
363,80855
364,82710
365,83590
367,83590
368,83858
369,83989
370,86587
371,85376
372,83989
373,83858
375,86618
376,82817
377,86754
378,89201
379,87517
381,88654
382,90124
383,90124
385,91675
387,410037
389,89660
391,90124
392,90466
393,93386
394,91203
395,93386
396,92837
397,93386
398,94492
399,94492
400,102723
401,290163
402,102723
403,94509
404,95726
405,95000
406,97366
407,97209
409,97844
412,98259
413,97844
415,333211
416,96656
417,99277
418,99277
419,99794
420,99803
422,99375
423,100457
424,101026
425,101510
426,97643
427,101330
428,101510
430,101510
431,102126
432,100201
433,101026
434,100270
436,1020029
437,102070
438,102505
439,102188
440,102319
441,102545
443,102502
444,102502
446,106041
447,107011
448,102729
449,102918
451,107011
452,106041
454,107738
455,109181
457,110070
459,107339
460,110109
461,109901
462,107738
464,110487
465,109901
466,110109
467,110947
468,111778
469,111456
470,114557
473,114636
474,114832
475,112155
476,115695
478,114950
479,115243
481,115695
482,115243
483,114931
484,115797
485,115863
489,116048
491,118096
492,119043
493,115863
494,118959
495,118456
496,118096
497,118959
498,1004875
499,119075
500,122976
501,123604
502,123604
503,119976
504,121619
505,118426
506,122335
507,122527
508,123244
509,123716
512,122681
513,123716
514,128638
516,126358
517,127664
519,128315
520,128948
521,128567
522,128862
523,128948
524,128567
525,129565
526,131632
527,128799
528,129871
529,130252
530,129536
531,131632
533,129871
538,133599
540,134080
541,133599
542,133406
544,133823
545,134965
547,134222
549,137200
550,135104
551,137028
552,135095
555,136987
556,1008210
557,110342
558,136987
559,137200
560,136308
561,136308
562,137539
563,137724
564,137845
565,138171
566,137510
567,138171
568,130357
569,138354
571,138064
572,35394
573,138354
574,138670
575,141172
576,138354
578,145735
579,145520
580,145761
581,143735
582,143674
583,143674
584,145520
585,145742
586,147157
587,143735
588,145742
589,146439
590,146545
591,146545
593,148984
594,149164
595,149164
596,149164
597,148954
598,149289
599,147908
600,148984
601,149785
602,149289
604,149004
605,149799
606,150916
608,151388
610,150916
612,153105
613,150863
614,410037
615,152207
616,74136
617,151931
618,154169
620,153497
621,153617
622,154453
623,153520
624,154882
625,154631
626,154322
627,154610
628,154631
629,154169
630,154453
631,155876
635,154725
638,158205
639,158845
640,157126
642,158701
643,159177
644,155829
645,158845
646,159472
647,159258
648,159660
649,159984
650,159472
654,159660
655,160090
656,160288
657,159931
660,160524
661,160370
662,160679
663,160090
665,160524
666,100130
667,163023
668,164163
669,163347
670,160524
671,164163
672,162659
673,162039
674,164930
675,163347
676,159658
677,163023
678,163347
679,162039
680,165662
681,165668
682,164928
683,164779
684,164930
685,168706
686,165518
687,166324
688,165905
689,165518
690,166324
691,165990
692,167929
693,165057
696,168706
698,169577
699,166972
701,169046
702,170095
703,169046
704,169655
705,169360
706,170251
707,170251
708,169577
709,170095
710,169577
715,173004
716,171085
717,171490
719,170569
721,170256
723,174753
724,175110
725,174753
726,178383
727,175110
728,178187
729,174132
730,119075
731,177755
734,178534
735,177245
736,180728
737,180920
738,177770
739,179519
741,180920
742,181277
743,180920
744,181399
746,181286
747,182550
749,181936
750,185026
752,175824
754,183690
755,185177
756,185026
757,185594
758,185422
759,185177
760,183846
761,185050
762,185594
763,183026
764,185837
765,185735
766,186733
767,186733
768,185580
769,186472
770,185741
771,185887
773,185837
774,188452
775,187925
777,185837
778,189633
780,190046
781,186472
786,190148
787,190046
788,190148
789,190934
790,190985
792,190731
793,191399
794,191245
795,191399
797,194158
799,193835
801,191245
802,192932
803,194390
804,194158
806,193835
807,195170
809,193517
810,1010122
811,195210
813,195736
814,196206
815,195736
817,195736
818,195210
819,196206
820,194158
821,197142
822,198014
823,197751
824,197291
825,197142
827,198462
828,197195
829,197751
830,196984
831,1002729
832,199822
833,199822
834,198014
835,198868
836,201637
838,202319
839,198868
841,202356
842,201634
843,199822
845,201853
846,202356
847,202578
850,202500
851,205659
854,201637
857,206221
858,206738
859,207442
861,135668
862,211320
863,211320
864,208576
865,210671
866,212157
867,211320
868,212157
869,211027
870,214296
872,214261
873,211873
876,214555
877,214296
878,208576
880,214261
881,214657
882,214657
883,214296
884,214768
886,214768
887,214555
889,215079
890,214768
891,215449
892,215449
893,217020
894,217049
895,215340
896,217365
897,217143
898,217262
900,218500
902,217071
903,218625
905,78215
906,217262
907,219254
908,218625
909,218457
910,218500
911,220102
912,217365
913,220102
914,220619
915,220906
916,1033514
917,219781
918,220906
919,220102
920,220619
922,220619
923,219843
924,220066
925,221646
930,221918
931,221646
932,221351
933,221953
934,221953
935,224763
936,224839
938,224872
939,225145
940,225145
941,225342
942,225342
943,224872
945,225058
946,225435
947,224925
948,224872
949,226246
950,224912
952,226850
953,225353
954,226437
955,226381
956,227338
958,231020
959,230877
960,227260
961,225145
962,232125
963,232125
964,149289
969,233858
970,232680
972,234119
974,234119
975,234889
976,234119
977,233607
978,232554
979,233753
980,239154
982,238492
983,240992
985,239704
986,242672
988,243032
991,241934
992,245503
993,245503
994,241923
995,245400
996,244514
997,243168
1000,245662
1001,247182
1002,159426
1003,247182
1004,247911
1005,246541
1006,247724
1007,246541
1008,246948
1010,248062
1011,1032039
1012,245624
1014,247999
1015,251856
1016,251856
1017,251215
1018,249365
1019,252074
1020,252074
1021,252051
1022,251215
1023,252301
1024,252051
1027,256482
1028,256430
1029,255207
1031,255207
1032,255575
1033,254017
1034,258467
1035,256430
1037,256459
1039,257550
1041,258467
1042,258467
1043,258525
1045,258944
1046,257569
1047,258503
1048,258551
1049,257550
1051,258944
1052,258551
1053,260100
1054,261365
1056,261137
1057,260100
1059,258944
1060,262455
1061,262370
1063,258643
1064,258664
1065,262455
1066,262370
1067,261732
1068,264903
1069,262598
1071,261365
1072,266634
1073,266114
1074,266790
1075,266705
1076,268072
1077,268029
1078,267788
1079,267789
1080,268919
1082,267789
1083,268072
1084,268215
1086,1002692
1087,269836
1088,272269
1089,269560
1090,271180
1091,269741
1092,271515
1093,272269
1094,1000093
1095,272818
1096,271515
1097,273347
1099,276073
1100,275981
1101,277981
1102,276105
1103,277321
1104,280784
1105,280784
1106,280556
