problem,golden_answer,language
"In JavaScript, what error occurs if start() is called more than once on an AudioScheduledSourceNode without creating a new instance?",InvalidStateError,English
给定球体的半径r和球冠高度h，球冠的体积公式是什么？,（π/3）*（3rh²-h³）。,Chinese
在Python中，哪种数值方法通常用于求解给定问题中的非线性方程？,二分法或牛顿-拉夫逊法。,Chinese
在浮点运算中，为什么在比较两个数值时使用容差值（如1e-5）？,考虑浮点计算中的精度误差。,Chinese
根据阿基米德原理，漂浮物体必须满足什么条件才能达到静态平衡？,浮力必须等于物体的重量，并且重心与浮心在同一垂直线上。,Chinese
在Python中，当初始区间已知时，通常使用哪种数值方法来查找非线性方程的根？,二分法。,Chinese
在C#中，可以使用什么LINQ方法将对象集合转换为这些对象的特定属性集合？,SELECT（）。,Chinese
Какой метод Mongoose используется для создания нового документа в коллекции?,Model.create(),Russian
"In C#, which data structure is commonly used to store a set of 2D points for Voronoi diagram generation?",List<Point>.,English
在批处理脚本中，如何定义一个变量来存储Chrome的安装路径？,可以使用`set chrome_path=C:\Program Files (x86)\Google\Chrome\Application\chrome.exe`来定义Chrome的安装路径变量。,Chinese
"В Mongoose, какой параметр схемы используется для создания связи между коллекциями, например, между пользователями и сообщениями?",ref,Russian
在 Python 中，`is` 运算符与 `==` 运算符的区别是什么？,`is` 比较对象的内存地址，而 `==` 比较对象的值。,Chinese
Какая встроенная функция Python используется для преобразования строки в число с плавающей запятой?,float(),Russian
Какой метод словаря в Python используется для получения всех ключей в виде списка?,DICT.KEYS ().,Russian
在C#中，使用LINQ查询语法和方法语法有什么区别？,查询语法类似于类SQL表达式，而方法语法使用Select（）和Where（）等扩展方法来查询集合。,Chinese
使用FFmpeg的ffplay工具播放RTMP流的正确命令是什么？,ffplay -i <rtmp_or_rtsp_url>，其中 `<rtmp_or_rtsp_url>` 需替换为实际的流地址。,Chinese
在批处理脚本（BAT）中，如何启动Google Chrome并指定语言参数？,"可以使用`start """" %chrome_path% --new-window --lang=zh-CN`",Chinese
在Ubuntu系统上，如何安装FFmpeg以便播放转换后的流？,使用命令 `sudo apt update && sudo apt install ffmpeg`,Chinese
在 Python 中，如何使用 random 库生成一个 0 或 1 的随机数？,"使用 `random.choice([0, 1])`。",Chinese
What function in Go is used to start an HTTP server and listen for incoming requests?,ListenAndServe.,English
FFmpeg本身是否支持直接播放GB28181协议的PS视频流？,否,Chinese
Какой файл по умолчанию создается при генерации SSH-ключа с помощью ssh-keygen?,"id_rsa.pub, id_rsa",Russian
